Lat	35.04
Lon	-106.62
Alt	1619

yy	mm	dd	HH	MM	ss	datenum	Sun_Azimuth	ApparentSunEl	
2018	4	23	10	0	0	737173.4166666666	120.6530065082898	54.04126898960565
2018	4	24	10	0	0	737174.4166666666	120.2974155202511	54.3004662990246
2018	4	25	10	0	0	737175.4166666666	119.9393833678481	54.55467557263866
2018	4	26	10	0	0	737176.4166666666	119.5790461030675	54.80380294457162
2018	4	27	10	0	0	737177.4166666666	119.2165516837863	55.04775826134638
2018	4	28	10	0	0	737178.4166666666	118.8520601143485	55.28645523957959
2018	4	29	10	0	0	737179.4166666666	118.4857435441719	55.5198116219687
2018	4	30	10	0	0	737180.4166666666	118.1177863220227	55.74774933095329
2018	5	1	10	0	0	737181.4166666666	117.7483850028212	55.97019461902588
2018	5	2	10	0	0	737182.4166666666	117.3777483045077	56.18707821480521
2018	5	3	10	0	0	737183.4166666666	117.0060970128403	56.39833546403975
2018	5	4	10	0	0	737184.4166666666	116.6336638318304	56.60390646440601
2018	5	5	10	0	0	737185.4166666666	116.2606931786109	56.80373619333794
2018	5	6	10	0	0	737186.4166666666	115.887440920915	56.99777462765143
2018	5	7	10	0	0	737187.4166666666	115.5141740568331	57.18597685421069
2018	5	8	10	0	0	737188.4166666666	115.1411703361995	57.36830317050895
2018	5	9	10	0	0	737189.4166666666	114.7687178237219	57.54471917428248
2018	5	10	10	0	0	737190.4166666666	114.3971144046882	57.71519584127232
2018	5	11	10	0	0	737191.4166666666	114.0266672339196	57.87970959009368
2018	5	12	10	0	0	737192.4166666666	113.6576921302474	58.03824233363365
2018	5	13	10	0	0	737193.4166666666	113.2905129182605	58.19078151603462
2018	5	14	10	0	0	737194.4166666666	112.9254607202862	58.33732013467613
2018	5	15	10	0	0	737195.4166666666	112.5628732018852	58.47785674652853
2018	5	16	10	0	0	737196.4166666666	112.2030937744461	58.61239545836563
2018	5	17	10	0	0	737197.4166666666	111.8464707593573	58.74094590047506
2018	5	18	10	0	0	737198.4166666666	111.4933565182887	58.86352318358831
2018	5	19	10	0	0	737199.4166666666	111.1441065547327	58.98014783886315
2018	5	20	10	0	0	737200.4166666666	110.7990785916992	59.0908457406372
2018	5	21	10	0	0	737201.4166666666	110.458631632151	59.19564801253305
2018	5	22	10	0	0	737202.4166666666	110.1231250069648	59.29459091653951
2018	5	23	10	0	0	737203.4166666666	109.7929174170955	59.38771572577158
2018	5	24	10	0	0	737204.4166666666	109.4683659756926	59.47506858117764
2018	5	25	10	0	0	737205.4166666666	109.149825256134	59.55670033278631
2018	5	26	10	0	0	737206.4166666666	108.8376463522065	59.63266636623297
2018	5	27	10	0	0	737207.4166666666	108.5321759556759	59.70302641511885
2018	5	28	10	0	0	737208.4166666666	108.2337554575115	59.76784436044785
2018	5	29	10	0	0	737209.4166666666	107.9427200772811	59.8271880176741
2018	5	30	10	0	0	737210.4166666666	107.6593980262692	59.88112891278006
2018	5	31	10	0	0	737211.4166666666	107.3841097084158	59.92974204822045
2018	6	1	10	0	0	737212.4166666666	107.1171669633745	59.97310566003958
2018	6	2	10	0	0	737213.4166666666	106.8588723552284	60.01130096733585
2018	6	3	10	0	0	737214.4166666666	106.6095185101348	60.04441191539578
2018	6	4	10	0	0	737215.4166666666	106.369387504994	60.07252491347604
2018	6	5	10	0	0	737216.4166666666	106.1387503098942	60.09572856893733
2018	6	6	10	0	0	737217.4166666666	105.9178662851767	60.11411341857848
2018	6	7	10	0	0	737218.4166666666	105.7069827346082	60.12777165875926
2018	6	8	10	0	0	737219.4166666666	105.5063345146883	60.13679687524062
2018	6	9	10	0	0	737220.4166666666	105.3161437003431	60.14128377414475
